Model,Nodes,Length,Percent_error,Time_ms
МБС + АКМ + 2-opt,10,146,12.76,107
МБС + АКМ + 2-opt,20,398,7.65,398
МБС + АКМ + 2-opt,30,719,6.01,1148
МБС + АКМ + 2-opt,40,1049,5.74,2973
МБС + АКМ + 2-opt,50,1484,5.42,4955
МБС + АКМ + 2-opt,60,1928,5.46,7571
МБС + АКМ + 2-opt,70,2385,4.91,12669
МБС + АКМ + 2-opt,80,2910,4.19,15527
МБС + АКМ + 2-opt,90,3445,4.6,21329
МБС + АКМ + 2-opt,100,4098,5.72,25651
МБС + АКМ + 2-opt,110,4649,5.57,27825
МБС + АКМ + 2-opt,120,5254,5.07,36409
МБС + АКМ + 2-opt,130,5945,5.03,39551
МБС + АКМ + 2-opt,140,6612,5.42,41699
МБС + АКМ + 2-opt,150,7317,4.94,47811
МБС + АКМ + 2-opt,200,11233,5.78,88820
МБС + АКМ + 2-opt,300,20676,6.98,173829
МБС + АКМ + 2-opt,500,44155,7.07,355721
